"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2022","Quintile 4","18","Northern Ireland","Man","890","2420","0.369"
"2023","Quintile 4","18","Northern Ireland","Man","820","2440","0.336"
"2024","Quintile 4","18","Northern Ireland","Man","750","2470","0.303"
"2015","Quintile 4","18","England","Man","16530","62900","0.263"
"2016","Quintile 4","18","England","Man","16820","61340","0.274"
"2017","Quintile 4","18","England","Man","17040","61060","0.279"
"2018","Quintile 4","18","England","Man","16890","59050","0.28600000000000003"
"2019","Quintile 4","18","England","Man","16460","58140","0.28300000000000003"
"2020","Quintile 4","18","England","Man","16890","57100","0.296"
"2021","Quintile 4","18","England","Man","20260","58130","0.34900000000000003"
"2022","Quintile 4","18","England","Man","19530","60030","0.325"
"2023","Quintile 4","18","England","Man","18720","61540","0.304"
"2024","Quintile 4","18","England","Man","19310","62190","0.31"
"2015","Quintile 4","18","Scotland","Man","1460","6440","0.227"
"2016","Quintile 4","18","Scotland","Man","1500","6420","0.233"
"2017","Quintile 4","18","Scotland","Man","1420","6040","0.23500000000000001"
"2018","Quintile 4","18","Scotland","Man","1440","5710","0.252"
"2019","Quintile 4","18","Scotland","Man","1330","5500","0.242"
"2020","Quintile 4","18","Scotland","Man","1320","5480","0.24"
"2021","Quintile 4","18","Scotland","Man","1540","5860","0.263"
"2022","Quintile 4","18","Scotland","Man","1660","5900","0.281"
"2023","Quintile 4","18","Scotland","Man","1670","5900","0.28200000000000003"
"2024","Quintile 4","18","Scotland","Man","1740","6250","0.278"
"2015","Quintile 4","18","Wales","Man","950","3890","0.244"
"2016","Quintile 4","18","Wales","Man","930","3640","0.256"
"2017","Quintile 4","18","Wales","Man","850","3560","0.23900000000000002"
"2018","Quintile 4","18","Wales","Man","920","3480","0.264"
"2019","Quintile 4","18","Wales","Man","850","3360","0.253"
"2020","Quintile 4","18","Wales","Man","860","3320","0.26"
"2021","Quintile 4","18","Wales","Man","970","3310","0.292"
"2022","Quintile 4","18","Wales","Man","940","3380","0.277"
"2023","Quintile 4","18","Wales","Man","880","3430","0.257"
"2024","Quintile 4","18","Wales","Man","870","3410","0.254"
"2015","Quintile 5","18","Northern Ireland","Man","760","2220","0.342"
"2016","Quintile 5","18","Northern Ireland","Man","740","2180","0.338"
"2017","Quintile 5","18","Northern Ireland","Man","750","2130","0.353"
"2018","Quintile 5","18","Northern Ireland","Man","740","2080","0.356"
"2019","Quintile 5","18","Northern Ireland","Man","730","1970","0.371"
"2020","Quintile 5","18","Northern Ireland","Man","860","1950","0.442"
"2021","Quintile 5","18","Northern Ireland","Man","980","1950","0.502"
"2022","Quintile 5","18","Northern Ireland","Man","920","2010","0.459"
"2023","Quintile 5","18","Northern Ireland","Man","920","2040","0.449"
"2024","Quintile 5","18","Northern Ireland","Man","850","2080","0.40900000000000003"
"2015","Quintile 5","18","England","Man","22170","66860","0.332"
"2016","Quintile 5","18","England","Man","22440","66140","0.339"
"2017","Quintile 5","18","England","Man","22300","65700","0.339"
"2018","Quintile 5","18","England","Man","22180","64070","0.34600000000000003"
"2019","Quintile 5","18","England","Man","21740","62220","0.34900000000000003"
"2020","Quintile 5","18","England","Man","22210","61500","0.361"
"2021","Quintile 5","18","England","Man","26650","63470","0.42"
"2022","Quintile 5","18","England","Man","25740","65250","0.394"
"2023","Quintile 5","18","England","Man","24490","66020","0.371"
"2024","Quintile 5","18","England","Man","25090","66040","0.38"
"2015","Quintile 5","18","Scotland","Man","2180","6510","0.335"
"2016","Quintile 5","18","Scotland","Man","2240","6330","0.353"
"2017","Quintile 5","18","Scotland","Man","2210","6410","0.34400000000000003"
"2018","Quintile 5","18","Scotland","Man","2200","6140","0.358"
"2019","Quintile 5","18","Scotland","Man","2110","5990","0.352"
"2020","Quintile 5","18","Scotland","Man","2190","5900","0.372"
"2021","Quintile 5","18","Scotland","Man","2360","6120","0.385"
"2022","Quintile 5","18","Scotland","Man","2490","6460","0.386"
"2023","Quintile 5","18","Scotland","Man","2450","6310","0.388"
"2024","Quintile 5","18","Scotland","Man","2640","6440","0.40900000000000003"
"2015","Quintile 5","18","Wales","Man","1210","3790","0.319"
"2016","Quintile 5","18","Wales","Man","1190","3650","0.326"
"2017","Quintile 5","18","Wales","Man","1190","3640","0.327"
"2018","Quintile 5","18","Wales","Man","1170","3530","0.331"
"2019","Quintile 5","18","Wales","Man","1190","3620","0.327"
"2020","Quintile 5","18","Wales","Man","1190","3370","0.352"
"2021","Quintile 5","18","Wales","Man","1380","3430","0.403"
"2022","Quintile 5","18","Wales","Man","1270","3420","0.37"
"2023","Quintile 5","18","Wales","Man","1240","3450","0.358"
"2024","Quintile 5","18","Wales","Man","1160","3520","0.33"
"2015","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2016","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2017","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2018","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2019","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2020","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2021","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2022","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2023","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2024","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2015","Quintile 1","18","England","Unknown","0"," ",""
"2016","Quintile 1","18","England","Unknown","0"," ",""
"2017","Quintile 1","18","England","Unknown","0"," ",""
"2018","Quintile 1","18","England","Unknown","0"," ",""
"2019","Quintile 1","18","England","Unknown","0"," ",""
"2020","Quintile 1","18","England","Unknown","0"," ",""
"2021","Quintile 1","18","England","Unknown","0"," ",""
